,0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,0.0
2020-04-30 00:00:00+00:00,0.0
2020-05-31 00:00:00+00:00,0.0
2020-06-30 00:00:00+00:00,0.0
2020-07-31 00:00:00+00:00,0.0
2020-08-31 00:00:00+00:00,0.0
2020-09-30 00:00:00+00:00,0.0
2020-10-31 00:00:00+00:00,0.0
2020-11-30 00:00:00+00:00,-0.2865324541323879
2020-12-31 00:00:00+00:00,-0.22279063482412242
2021-01-31 00:00:00+00:00,-0.36653245875996765
2021-02-28 00:00:00+00:00,-0.18791424462035955
2021-03-31 00:00:00+00:00,-0.1952372166089852
2021-04-30 00:00:00+00:00,-0.15000406253529486
2021-05-31 00:00:00+00:00,-0.05139753512763878
2021-06-30 00:00:00+00:00,-0.0009627931448281668
2021-07-31 00:00:00+00:00,-0.20024584157501446
2021-08-31 00:00:00+00:00,-0.11697019679642529
2021-09-30 00:00:00+00:00,-0.18685565396646553
2021-10-31 00:00:00+00:00,-0.22445100537774842
2021-11-30 00:00:00+00:00,-0.17415606600596278
2021-12-31 00:00:00+00:00,0.010596329669470661
2022-01-31 00:00:00+00:00,-0.23917940996783926
2022-02-28 00:00:00+00:00,0.04773530755104294
2022-03-31 00:00:00+00:00,-0.145800430063046
2022-04-30 00:00:00+00:00,-0.09018362396829482
2022-05-31 00:00:00+00:00,-0.0912384278001892
2022-06-30 00:00:00+00:00,-0.2009833028455813
2022-07-31 00:00:00+00:00,-0.04632574961228597
2022-08-31 00:00:00+00:00,-0.0616787770455669
2022-09-30 00:00:00+00:00,-0.014088188896925868
2022-10-31 00:00:00+00:00,-0.2576867733209399
2022-11-30 00:00:00+00:00,-0.12800678516448705
2022-12-31 00:00:00+00:00,-0.14506591620532827
2023-01-31 00:00:00+00:00,-0.02290082016207884
2023-02-28 00:00:00+00:00,-0.059009465153369134
2023-03-31 00:00:00+00:00,-0.2222930314767465
2023-04-30 00:00:00+00:00,0.0008898536266781498
2023-05-31 00:00:00+00:00,-0.15097786460527585
2023-06-30 00:00:00+00:00,-0.2286390220190272
2023-07-31 00:00:00+00:00,-0.011172590437106944
2023-08-31 00:00:00+00:00,-0.2791392765931181
2023-09-30 00:00:00+00:00,-0.11466571690500171
2023-10-31 00:00:00+00:00,-0.11205902422317959
2023-11-30 00:00:00+00:00,-0.12635588077647164
2023-12-31 00:00:00+00:00,-0.2576675440307922
2024-01-31 00:00:00+00:00,-0.022971988725905446
2024-02-29 00:00:00+00:00,-0.16023714437326997
2024-03-31 00:00:00+00:00,-0.1998945380604501
2024-04-30 00:00:00+00:00,-0.06432993135883602
2024-05-31 00:00:00+00:00,-0.11813194004147975
2024-06-30 00:00:00+00:00,-0.1611828424800762
2024-07-31 00:00:00+00:00,-0.1009901127395374
2024-08-31 00:00:00+00:00,-0.047249991463778174
2024-09-30 00:00:00+00:00,-0.14998069405356018
2024-10-31 00:00:00+00:00,0.007807309139649776
2024-11-30 00:00:00+00:00,-0.13614457841450078
2024-12-31 00:00:00+00:00,-0.1349439353354841
2025-01-31 00:00:00+00:00,-0.08897213206673571
2025-02-28 00:00:00+00:00,-0.18493296318217767
2025-03-31 00:00:00+00:00,-0.12220613613499887
2025-04-30 00:00:00+00:00,-0.19523487113935867
2025-05-31 00:00:00+00:00,0.014868999055763776
2025-06-30 00:00:00+00:00,-0.0925747267938074
2025-07-31 00:00:00+00:00,0.0019890151887584917
2025-08-31 00:00:00+00:00,-0.20586316779633784
2025-09-30 00:00:00+00:00,-0.16921228253457554
2025-10-31 00:00:00+00:00,-0.13413879909731052
2025-11-30 00:00:00+00:00,-0.15043738676075258
2025-12-31 00:00:00+00:00,-0.06157806125304621
2026-01-31 00:00:00+00:00,-0.2606386515492545
2026-02-28 00:00:00+00:00,-0.05319731898011326
2026-03-31 00:00:00+00:00,-0.07569900851144362
2026-04-30 00:00:00+00:00,-0.12172788299829929
2026-05-31 00:00:00+00:00,-0.16085785891710835
2026-06-30 00:00:00+00:00,-0.2518684906785055
2026-07-31 00:00:00+00:00,-0.08905273619389087
2026-08-31 00:00:00+00:00,0.049093743747264496
